model,seed,test_auc_roc,test_auc_pr,num_params,epochs
baseline,0,0.6731,0.6829,1217,40
baseline,1,0.6711,0.6827,1217,40
baseline,2,0.6747,0.6847,1217,40
baseline,3,0.6755,0.6859,1217,40
baseline,4,0.6757,0.6849,1217,40
cnn_lstm,0,0.6914,0.7035,18145,40
cnn_lstm,1,0.6911,0.7031,18145,40
cnn_lstm,2,0.6927,0.7042,18145,40
cnn_lstm,3,0.6977,0.7094,18145,40
cnn_lstm,4,0.6978,0.7116,18145,40
cnn_lstm_attention,0,0.6945,0.7062,18210,40
cnn_lstm_attention,1,0.6939,0.7068,18210,40
cnn_lstm_attention,2,0.696,0.7081,18210,40
cnn_lstm_attention,3,0.6969,0.7088,18210,40
cnn_lstm_attention,4,0.6948,0.7085,18210,40
