model,seed,test_auc_roc,test_auc_pr,num_params,epochs
cnn_lstm_attention,42,0.8178,0.8127,18210,40
cnn_lstm_attention,42,0.9447,0.9101,18210,40
baseline,0,0.9684,0.9526,1217,40
baseline,1,0.9738,0.9515,1217,40
baseline,2,0.9659,0.9247,1217,40
baseline,3,0.9624,0.9268,1217,40
baseline,4,0.9734,0.9539,1217,40
cnn_lstm,0,0.6746,0.6909,18145,40
cnn_lstm,1,0.9717,0.9623,18145,40
cnn_lstm,2,0.9797,0.9748,18145,40
cnn_lstm,3,0.975,0.968,18145,40
cnn_lstm,4,0.9708,0.9581,18145,40
cnn_lstm_attention,0,0.9774,0.9744,18210,40
cnn_lstm_attention,1,0.9046,0.8768,18210,40
cnn_lstm_attention,2,0.9816,0.9778,18210,40
cnn_lstm_attention,3,0.8058,0.794,18210,40
cnn_lstm_attention,4,0.8989,0.869,18210,40
baseline,0,0.9684,0.9526,1217,40
baseline,1,0.9738,0.9515,1217,40
baseline,2,0.9659,0.9247,1217,40
baseline,3,0.9624,0.9268,1217,40
baseline,4,0.9734,0.9539,1217,40
cnn_lstm,0,0.9763,0.97,18145,40
cnn_lstm,1,0.9717,0.9623,18145,40
cnn_lstm,2,0.9845,0.9835,18145,40
cnn_lstm,3,0.975,0.968,18145,40
cnn_lstm,4,0.9708,0.9581,18145,40
cnn_lstm_attention,0,0.8518,0.8114,18210,40
cnn_lstm_attention,1,0.9499,0.9347,18210,40
cnn_lstm_attention,2,0.9604,0.954,18210,40
cnn_lstm_attention,3,0.9385,0.9196,18210,40
cnn_lstm_attention,4,0.9544,0.9335,18210,40
baseline,42,0.7356,0.7194,1217,2
baseline,42,0.7461,0.7337,1217,40
cnn_lstm,42,0.8189,0.8153,18145,40
cnn_lstm_attention,42,0.8198,0.8181,18210,40
baseline,0,0.7461,0.7318,1217,40
baseline,1,0.7435,0.7317,1217,40
baseline,2,0.7486,0.7354,1217,40
baseline,3,0.7489,0.7359,1217,40
baseline,4,0.7496,0.7378,1217,40
cnn_lstm,0,0.8225,0.8196,18145,40
cnn_lstm,1,0.8194,0.8154,18145,40
cnn_lstm,2,0.8257,0.8224,18145,40
cnn_lstm,3,0.8145,0.8106,18145,40
cnn_lstm,4,0.8208,0.8188,18145,40
cnn_lstm_attention,0,0.8175,0.8154,18210,40
cnn_lstm_attention,1,0.8209,0.82,18210,40
cnn_lstm_attention,2,0.8189,0.817,18210,40
cnn_lstm_attention,3,0.8226,0.8203,18210,40
cnn_lstm_attention,4,0.8188,0.8148,18210,40
