model,seed,test_auc_roc,test_auc_pr,num_params,epochs
baseline,0,0.7461,0.7318,1217,40
baseline,1,0.7435,0.7317,1217,40
baseline,2,0.7486,0.7354,1217,40
baseline,3,0.7489,0.7359,1217,40
baseline,4,0.7496,0.7378,1217,40
cnn_lstm,0,0.8225,0.8196,18145,40
cnn_lstm,1,0.8194,0.8154,18145,40
cnn_lstm,2,0.8257,0.8224,18145,40
cnn_lstm,3,0.8145,0.8106,18145,40
cnn_lstm,4,0.8208,0.8188,18145,40
cnn_lstm_attention,0,0.8175,0.8154,18210,40
cnn_lstm_attention,1,0.8209,0.82,18210,40
cnn_lstm_attention,2,0.8189,0.817,18210,40
cnn_lstm_attention,3,0.8226,0.8203,18210,40
cnn_lstm_attention,4,0.8188,0.8148,18210,40
