idx,ig_peak,attn_peak,has_motif,prob,motif_start,motif_end,ig_hit,attn_hit,ig_dist,attn_dist
0,37,24,False,0.6409395933151245,,,,,,
2,52,22,False,0.7705048322677612,,,,,,
4,59,36,False,0.5678352117538452,,,,,,
5,48,14,False,0.8974760174751282,,,,,,
9,57,16,False,0.6813147068023682,,,,,,
10,49,20,False,0.7066099047660828,,,,,,
11,46,25,False,0.8696377277374268,,,,,,
16,53,34,False,0.6366303563117981,,,,,,
18,44,32,True,0.9298632740974426,43.0,51.0,True,False,2.5,14.5
20,51,29,False,0.5524757504463196,,,,,,
26,82,36,False,0.5583513975143433,,,,,,
34,67,12,False,0.75324946641922,,,,,,
37,39,24,False,0.9529505372047424,,,,,,
38,27,26,False,0.9307630658149719,,,,,,
39,41,27,False,0.9497452974319458,,,,,,
41,35,27,False,0.7862682342529297,,,,,,
42,50,24,False,0.5226774215698242,,,,,,
50,40,27,True,0.9844197630882263,39.0,47.0,True,False,2.5,15.5
52,18,21,True,0.9019067883491516,16.0,24.0,True,True,1.5,1.5
53,22,20,False,0.665083646774292,,,,,,
54,44,23,False,0.6718679070472717,,,,,,
56,11,14,False,0.89410400390625,,,,,,
59,39,16,True,0.8207112550735474,6.0,14.0,False,False,29.5,6.5
60,92,28,False,0.9070418477058411,,,,,,
61,38,26,False,0.9421723484992981,,,,,,
63,45,32,False,0.5965065360069275,,,,,,
69,56,12,False,0.9293195605278015,,,,,,
70,56,33,False,0.818164587020874,,,,,,
72,20,16,False,0.8678925037384033,,,,,,
73,53,20,False,0.7214409112930298,,,,,,
74,52,29,False,0.758132815361023,,,,,,
75,48,31,False,0.7109290361404419,,,,,,
79,45,35,False,0.6342046856880188,,,,,,
83,52,13,False,0.9335899353027344,,,,,,
84,56,29,False,0.5110208988189697,,,,,,
86,38,29,False,0.9172412753105164,,,,,,
87,45,29,False,0.787396252155304,,,,,,
88,26,26,False,0.6620652675628662,,,,,,
90,48,14,False,0.8259885907173157,,,,,,
92,42,32,False,0.9632648229598999,,,,,,
93,73,58,False,0.6515504717826843,,,,,,
95,47,20,False,0.921093225479126,,,,,,
97,58,24,False,0.8679296970367432,,,,,,
99,48,42,False,0.5352779626846313,,,,,,
101,31,32,False,0.7954782843589783,,,,,,
102,29,46,True,0.9120305776596069,28.0,36.0,True,False,2.5,14.5
103,22,36,False,0.7120859026908875,,,,,,
105,49,44,False,0.5788161158561707,,,,,,
107,94,26,False,0.6821531653404236,,,,,,
108,45,29,False,0.7812878489494324,,,,,,
109,46,27,False,0.704074501991272,,,,,,
115,54,13,False,0.8521365523338318,,,,,,
120,41,27,False,0.9851861596107483,,,,,,
122,41,28,False,0.5126050114631653,,,,,,
123,48,27,False,0.5273139476776123,,,,,,
125,44,27,False,0.9812254309654236,,,,,,
126,54,52,False,0.6117258071899414,,,,,,
127,27,24,False,0.6634869575500488,,,,,,
128,47,30,False,0.6119638085365295,,,,,,
132,43,26,False,0.9839187860488892,,,,,,
133,34,32,False,0.7384211421012878,,,,,,
135,61,96,True,0.9741067290306091,54.0,62.0,True,False,3.5,38.5
136,39,29,False,0.8860197067260742,,,,,,
138,37,27,False,0.9452559947967529,,,,,,
142,42,24,False,0.5351089835166931,,,,,,
143,48,34,False,0.6492384672164917,,,,,,
147,38,25,False,0.9312865138053894,,,,,,
149,48,24,False,0.9487442374229431,,,,,,
153,45,24,False,0.7993975877761841,,,,,,
154,51,27,False,0.8590546250343323,,,,,,
158,43,35,True,0.8900213837623596,42.0,50.0,True,False,2.5,10.5
159,21,19,False,0.8779974579811096,,,,,,
160,52,12,False,0.7680439949035645,,,,,,
162,50,50,False,0.5148562788963318,,,,,,
163,49,23,False,0.518361508846283,,,,,,
166,92,30,False,0.5907769799232483,,,,,,
167,27,29,False,0.8812183141708374,,,,,,
171,46,30,False,0.8222755789756775,,,,,,
172,22,19,False,0.8915657997131348,,,,,,
173,80,29,False,0.5203328728675842,,,,,,
181,34,38,False,0.744636595249176,,,,,,
182,45,18,False,0.7609475255012512,,,,,,
183,45,18,False,0.9359755516052246,,,,,,
184,30,16,False,0.9009382128715515,,,,,,
185,47,35,False,0.6357495188713074,,,,,,
186,38,27,False,0.8161740899085999,,,,,,
187,45,16,False,0.8189380764961243,,,,,,
188,34,24,False,0.9280616044998169,,,,,,
189,33,22,False,0.8466110825538635,,,,,,
190,33,28,True,0.9584679007530212,32.0,40.0,True,False,2.5,7.5
194,45,13,False,0.8763024210929871,,,,,,
196,50,25,False,0.6459042429924011,,,,,,
197,51,27,False,0.6660266518592834,,,,,,
200,38,27,False,0.6800966858863831,,,,,,
205,30,26,False,0.9772358536720276,,,,,,
206,13,32,False,0.8768970966339111,,,,,,
211,60,38,False,0.5058217644691467,,,,,,
214,56,46,False,0.5637173652648926,,,,,,
216,44,20,False,0.8738988041877747,,,,,,
220,17,14,False,0.8876101970672607,,,,,,
231,44,28,False,0.5460156798362732,,,,,,
234,37,29,False,0.5866827368736267,,,,,,
235,47,35,False,0.6694562435150146,,,,,,
238,53,26,False,0.5849793553352356,,,,,,
239,39,31,False,0.6819365620613098,,,,,,
240,24,23,False,0.9292091131210327,,,,,,
241,35,26,False,0.9505319595336914,,,,,,
245,61,26,False,0.8373249173164368,,,,,,
248,54,41,False,0.5513191819190979,,,,,,
250,49,29,False,0.8226816654205322,,,,,,
251,51,31,False,0.8545991778373718,,,,,,
254,47,31,False,0.6845064163208008,,,,,,
260,33,28,False,0.8900768160820007,,,,,,
263,78,29,False,0.6756889224052429,,,,,,
264,40,28,False,0.5969129204750061,,,,,,
267,57,95,False,0.8565841317176819,,,,,,
271,43,26,False,0.7690686583518982,,,,,,
273,21,26,False,0.5624012351036072,,,,,,
274,65,23,False,0.8890610337257385,,,,,,
275,15,23,False,0.8881498575210571,,,,,,
277,47,25,False,0.7950162887573242,,,,,,
283,29,26,False,0.9632711410522461,,,,,,
284,44,26,False,0.527267336845398,,,,,,
287,49,34,False,0.6430584788322449,,,,,,
292,49,28,False,0.5521411299705505,,,,,,
295,43,28,False,0.620833158493042,,,,,,
299,48,20,False,0.754560649394989,,,,,,
302,45,27,False,0.8415133953094482,,,,,,
304,47,25,False,0.8708324432373047,,,,,,
305,30,23,False,0.9535084366798401,,,,,,
307,50,22,False,0.82121741771698,,,,,,
310,40,17,False,0.9386081695556641,,,,,,
312,98,33,False,0.7389388084411621,,,,,,
314,26,26,False,0.9144317507743835,,,,,,
315,54,30,False,0.6444454193115234,,,,,,
316,48,19,False,0.7412642240524292,,,,,,
317,38,26,False,0.617131233215332,,,,,,
320,65,96,False,0.8546419143676758,,,,,,
325,49,34,False,0.5104815363883972,,,,,,
328,44,28,False,0.7474667429924011,,,,,,
330,27,16,False,0.7191677689552307,,,,,,
331,57,13,False,0.9255022406578064,,,,,,
333,49,11,False,0.5292105078697205,,,,,,
334,50,30,False,0.6096771955490112,,,,,,
336,36,28,False,0.8354365825653076,,,,,,
337,43,22,False,0.8400776386260986,,,,,,
338,40,34,False,0.6837359666824341,,,,,,
339,25,22,False,0.9831103086471558,,,,,,
349,34,26,False,0.9686481356620789,,,,,,
351,28,17,False,0.8298048973083496,,,,,,
352,37,32,True,0.963172435760498,36.0,44.0,True,False,2.5,7.5
354,44,18,False,0.7486687898635864,,,,,,
358,45,38,False,0.6558742523193359,,,,,,
361,87,20,False,0.5475228428840637,,,,,,
362,56,28,False,0.5366611480712891,,,,,,
366,37,21,False,0.7682523131370544,,,,,,
368,42,34,False,0.5223785638809204,,,,,,
369,39,26,False,0.9903267025947571,,,,,,
370,90,18,False,0.9012558460235596,,,,,,
371,62,33,False,0.8768367767333984,,,,,,
372,90,19,False,0.5333157777786255,,,,,,
382,43,21,False,0.6800644993782043,,,,,,
383,24,23,False,0.9668945670127869,,,,,,
392,18,35,False,0.754577100276947,,,,,,
393,42,30,False,0.842594563961029,,,,,,
395,38,25,False,0.9392194747924805,,,,,,
396,32,29,True,0.9789971113204956,30.0,38.0,True,True,1.5,4.5
398,47,33,False,0.7259623408317566,,,,,,
399,26,23,False,0.972317636013031,,,,,,
401,45,23,False,0.7702107429504395,,,,,,
410,19,22,False,0.6269396543502808,,,,,,
411,35,17,False,0.7157378792762756,,,,,,
412,48,28,False,0.8105170130729675,,,,,,
414,45,36,False,0.5262492895126343,,,,,,
415,48,25,False,0.5181292295455933,,,,,,
416,47,23,False,0.5418563485145569,,,,,,
421,42,25,False,0.6822041273117065,,,,,,
424,62,21,False,0.6841127276420593,,,,,,
427,44,29,False,0.8425536155700684,,,,,,
437,34,25,False,0.9756602644920349,,,,,,
439,81,43,False,0.5798478722572327,,,,,,
442,43,19,False,0.8340463638305664,,,,,,
446,40,27,False,0.9165987372398376,,,,,,
452,42,31,False,0.778681755065918,,,,,,
455,19,18,False,0.6707243323326111,,,,,,
459,60,29,False,0.6507751941680908,,,,,,
461,36,29,False,0.5697470307350159,,,,,,
462,43,25,False,0.8398736715316772,,,,,,
472,96,31,False,0.6874983310699463,,,,,,
476,55,26,False,0.5688984394073486,,,,,,
479,22,18,False,0.725584864616394,,,,,,
480,17,25,False,0.9000292420387268,,,,,,
481,60,16,False,0.7228603363037109,,,,,,
482,40,27,False,0.7415670156478882,,,,,,
484,45,26,False,0.5211012959480286,,,,,,
488,45,17,False,0.8448137044906616,,,,,,
489,46,26,False,0.9252099990844727,,,,,,
493,55,17,False,0.7029728889465332,,,,,,
494,38,26,False,0.912384569644928,,,,,,
496,46,42,False,0.6845433115959167,,,,,,
500,48,17,False,0.8254622220993042,,,,,,
501,43,15,False,0.8504537343978882,,,,,,
502,46,31,False,0.9651726484298706,,,,,,
505,55,34,False,0.6647149324417114,,,,,,
506,30,30,False,0.8164529204368591,,,,,,
510,42,13,False,0.9351521134376526,,,,,,
512,38,33,False,0.6162232756614685,,,,,,
513,38,27,False,0.6422979831695557,,,,,,
514,43,11,False,0.7773969173431396,,,,,,
516,62,24,False,0.9085969924926758,,,,,,
522,47,27,False,0.9708359241485596,,,,,,
523,50,36,False,0.6851866841316223,,,,,,
524,45,26,False,0.8819440007209778,,,,,,
526,18,15,False,0.7873647809028625,,,,,,
530,32,7,False,0.7581077814102173,,,,,,
531,52,10,False,0.7633559107780457,,,,,,
532,42,32,False,0.6259742379188538,,,,,,
535,36,30,False,0.9746494293212891,,,,,,
536,63,25,False,0.653288722038269,,,,,,
537,42,33,False,0.6802281141281128,,,,,,
539,77,20,False,0.7418919205665588,,,,,,
540,29,27,False,0.8326660990715027,,,,,,
541,70,22,False,0.8865431547164917,,,,,,
545,34,23,False,0.6178157329559326,,,,,,
546,58,43,False,0.5650121569633484,,,,,,
548,47,37,False,0.7262340188026428,,,,,,
550,46,25,False,0.6665312647819519,,,,,,
551,37,29,False,0.8511771559715271,,,,,,
552,52,13,False,0.8395028710365295,,,,,,
557,42,29,False,0.9457603693008423,,,,,,
558,50,24,False,0.8587207794189453,,,,,,
561,50,26,False,0.7684257626533508,,,,,,
